year,month,Load[GWh],Solar[GWh],Wind[GWh],Load[GW],Solar[GW],Wind[GW],minNetLoad[GW]
2011,1,598.0277,0.455466667,7.790083333,29.2702,0.0651,0.5252,18.5203
2011,2,592.1134815,2.228703704,15.29046296,28.52692593,0.260074074,1.038592593,17.98862963
2011,3,581.3688833,2.202966667,21.72498333,27.8711,0.250166667,1.3236,17.3055
2011,4,572.4201207,3.037724138,30.76225862,27.03086207,0.345655172,1.78537931,16.72589655
2011,5,582.6414167,3.271033333,31.13563333,27.21653333,0.3607,1.7972,16.95736667
2011,6,633.4106207,4.953344828,34.11365517,30.10386207,0.43637931,1.966413793,17.79544828
2011,7,704.3521167,4.495733333,27.35176667,35.3372,0.418833333,1.7144,19.34293333
2011,8,717.7109,4.6472,28.73948333,36.49533333,0.4178,1.851766667,19.40546667
2011,9,687.5634138,4.069172414,17.04268966,34.71148276,0.393034483,1.308137931,19.38
2011,10,609.032,3.019133333,13.24578333,29.60233333,0.319033333,1.004766667,18.06393333
2011,11,588.3798103,1.975758621,14.80637931,28.55268966,0.220034483,1.019,17.90365517
2011,12,608.36515,1.3065,9.5578,29.9936,0.165466667,0.7582,19.11716667
2012,1,591.9499333,0.5981,12.89386667,28.84553333,0.0843,0.9106,18.1916
2012,2,585.2514107,1.89,19.31803571,28.15321429,0.209678571,1.363535714,17.62567857
2012,3,585.6614333,3.244066667,23.60435,28.05726667,0.339,1.492233333,17.79006667
2012,4,581.4948448,5.760724138,27.41993103,27.50927586,0.61237931,1.863551724,17.14803448
2012,5,615.6688667,6.468033333,43.19605,28.93953333,0.700366667,2.442,17.0079
2012,6,658.7134483,8.479,44.25137931,31.72424138,0.833724138,2.576413793,18.05010345
2012,7,704.8737167,8.779666667,31.5366,34.99433333,0.901766667,2.146366667,19.43886667
2012,8,778.7505833,8.576133333,30.32853333,39.934,0.9426,2.169233333,21.06266667
2012,9,718.295,8.612448276,22.0915,36.43565517,0.977172414,1.691310345,19.87441379
2012,10,635.42575,6.6885,22.73203333,31.08013333,0.8778,1.444433333,18.4218
2012,11,589.9410862,5.330275862,13.83615517,28.67331034,0.794758621,0.946344828,17.92451724
2012,12,601.7695167,4.4433,22.03773333,29.7362,0.7102,1.556866667,18.16113333
2013,1,609.28995,6.2363,15.83853333,29.4577,0.9284,1.104833333,19.13246667
2013,2,592.2639259,9.635851852,27.11298148,28.38685185,1.261222222,1.969814815,18.02481481
2013,3,575.2739833,11.04143333,37.17715,27.64533333,1.3943,2.542266667,16.97096667
2013,4,596.8734138,13.61893103,54.26815517,28.16265517,1.549,3.335517241,16.49206897
2013,5,632.9731667,14.89743333,56.90835,29.85403333,1.664066667,3.162433333,17.2533
2013,6,691.5622759,18.79865517,55.82948276,33.31017241,2.039586207,3.28837931,18.28624138
2013,7,742.6852833,17.68986667,45.90656667,37.2327,1.9741,3.018533333,20.04613333
2013,8,726.0024167,20.41166667,41.4201,36.24613333,2.311933333,2.6306,19.4044
2013,9,699.2390172,21.69886207,38.95865517,34.88689655,2.550068966,2.606586207,19.3282069
2013,10,601.5841333,19.39703333,24.2844,28.91903333,2.423366667,1.8301,17.83453333
2013,11,581.4577759,16.36844828,14.86267241,28.37034483,2.321896552,1.086344828,17.87065517
2013,12,606.2186333,16.8147,14.26773333,29.72733333,2.536533333,1.179566667,18.86273333
2014,1,588.6622333,17.53053333,17.34163333,28.5401,2.634666667,1.260466667,18.2192
2014,2,581.5781481,21.84374074,30.7985,27.91392593,2.991740741,2.139851852,17.29225926
2014,3,574.22075,29.5317,35.79203333,27.47046667,3.609266667,2.6985,16.50576667
2014,4,592.9708276,35.38193103,44.81855172,27.95948276,3.92962069,2.965344828,16.78737931
2014,5,642.2281,39.43426667,58.06211667,30.81733333,4.152533333,3.275766667,17.41783333
2014,6,683.5955,44.48141379,63.80889655,33.15948276,4.487965517,3.685758621,17.87362069
2014,7,761.4440833,39.57443333,47.14003333,38.1282,4.261133333,3.153066667,20.4191
2014,8,738.5788,40.0174,42.26718333,37.25703333,4.350866667,2.707566667,20.07433333
2014,9,732.6454828,39.07917241,32.85918966,37.17896552,4.477517241,2.381827586,20.16034483
2014,10,642.2248667,33.6022,25.65463333,31.80166667,4.193566667,1.9039,18.3198
2014,11,576.9210345,27.81831034,22.37737931,28.32182759,3.959965517,1.499689655,17.20186207
2014,12,584.1109,19.3934,18.16245,28.84243333,3.0364,1.240466667,17.76296667
